EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),
0,2453372.50000,32001.00000,6971.02200,0.00000,-0.00126,0.00000,4.70963,5.92082,6977.98987,0.00100,0.89884,0.00000,0.00014,6.28304,6.28304,0,0.0,0.0,0.0,0.0,
20,2453372.50000,32021.00000,6969.37928,94.18522,118.40582,-0.16427,4.70852,5.91942,6977.98690,0.00100,0.89884,0.00000,0.03047,6.27443,6.27442,0,88.9,-42.3,1.0,125.4,
40,2453372.50000,32041.00000,6964.45190,188.32608,236.75695,-0.32845,4.70519,5.91523,6977.97251,0.00100,0.89884,0.00000,0.06082,6.26581,6.26577,0,87.8,-42.3,2.0,126.1,
60,2453372.50000,32061.00000,6956.24220,282.37821,354.99619,-0.49248,4.69965,5.90823,6977.94660,0.00099,0.89884,6.28319,0.09120,6.25716,6.25711,0,86.6,-42.4,3.0,126.8,
80,2453372.50000,32081.00000,6944.75406,376.29729,473.06767,-0.65628,4.69189,5.89845,6977.90917,0.00099,0.89884,6.28319,0.12161,6.24847,6.24840,0,85.4,-42.4,3.9,127.5,
100,2453372.50000,32101.00000,6929.99296,470.03905,590.91557,-0.81977,4.68192,5.88588,6977.86032,0.00098,0.89884,6.28318,0.15206,6.23973,6.23965,0,84.2,-42.4,4.9,128.2,
120,2453372.50000,32121.00000,6911.96589,563.55931,708.48421,-0.98287,4.66974,5.87052,6977.80019,0.00098,0.89883,6.28318,0.18258,6.23094,6.23084,0,83.0,-42.5,5.9,128.9,
140,2453372.50000,32141.00000,6890.68141,656.81401,825.71803,-1.14550,4.65536,5.85240,6977.72893,0.00097,0.89883,6.28318,0.21317,6.22207,6.22195,0,81.8,-42.5,6.9,129.6,
160,2453372.50000,32161.00000,6866.14962,749.75920,942.56162,-1.30758,4.63879,5.83150,6977.64670,0.00096,0.89882,6.28318,0.24386,6.21311,6.21297,0,80.6,-42.5,7.8,130.3,
180,2453372.50000,32181.00000,6838.38218,842.35108,1058.95980,-1.46905,4.62003,5.80786,6977.55368,0.00095,0.89882,6.28318,0.27464,6.20404,6.20389,0,79.4,-42.6,8.8,131.0,
200,2453372.50000,32201.00000,6807.39227,934.54604,1174.85756,-1.62982,4.59910,5.78146,6977.45016,0.00093,0.89881,6.28318,0.30554,6.19486,6.19470,0,78.2,-42.6,9.8,131.7,
220,2453372.50000,32221.00000,6773.19459,1026.30063,1290.20015,-1.78981,4.57600,5.75234,6977.33644,0.00092,0.89881,6.28318,0.33658,6.18555,6.18537,0,77.0,-42.6,10.8,132.4,
240,2453372.50000,32241.00000,6735.80537,1117.57165,1404.93310,-1.94896,4.55074,5.72050,6977.21284,0.00091,0.89880,6.28318,0.36776,6.17609,6.17589,0,75.8,-42.7,11.7,133.1,
260,2453372.50000,32261.00000,6695.24236,1208.31609,1519.00223,-2.10718,4.52334,5.68596,6977.07968,0.00089,0.89879,6.28317,0.39912,6.16644,6.16624,0,74.6,-42.7,12.7,133.9,
280,2453372.50000,32281.00000,6651.52480,1298.49123,1632.35366,-2.26440,4.49382,5.64874,6976.93727,0.00087,0.89878,6.28317,0.43069,6.15660,6.15637,0,73.5,-42.7,13.7,134.6,
300,2453372.50000,32301.00000,6604.67342,1388.05461,1744.93389,-2.42055,4.46217,5.60884,6976.78592,0.00085,0.89877,6.28317,0.46250,6.14651,6.14628,0,72.3,-42.8,14.6,135.3,
320,2453372.50000,32321.00000,6554.71046,1476.96406,1856.68976,-2.57555,4.42843,5.56630,6976.62594,0.00083,0.89876,6.28316,0.49458,6.13615,6.13590,0,71.1,-42.8,15.6,136.1,
340,2453372.50000,32341.00000,6501.65959,1565.17773,1967.56853,-2.72933,4.39260,5.52114,6976.45763,0.00081,0.89876,6.28316,0.52697,6.12548,6.12522,0,69.9,-42.8,16.5,136.8,
360,2453372.50000,32361.00000,6445.54598,1652.65410,2077.51787,-2.88181,4.35470,5.47336,6976.28128,0.00079,0.89874,6.28315,0.55972,6.11445,6.11418,0,68.7,-42.9,17.5,137.6,
380,2453372.50000,32381.00000,6386.39621,1739.35200,2186.48589,-3.03293,4.31475,5.42301,6976.09717,0.00077,0.89873,6.28315,0.59287,6.10301,6.10273,0,67.5,-42.9,18.4,138.4,
400,2453372.50000,32401.00000,6324.23832,1825.23063,2294.42120,-3.18261,4.27278,5.37010,6975.90559,0.00075,0.89872,6.28314,0.62650,6.09110,6.09082,0,66.3,-42.9,19.4,139.1,
